1,2,CB10,Clear,34.60974,-96.63367,1
2,9,CB9,Clear,34.6157,-96.57217,1
3,9,CB8,Clear,34.60172,-96.56747,1
4,9,CB18,Clear,34.57137,-96.49464,1
5,9,CB17,Clear,34.5455,-96.44302,1
6,9,CB19,Clear,34.69466,-96.54231,1
7,9,CB20,Clear,34.61094,-96.39483,1
8,9,CB4,Clear,34.53458,-96.33257,1
9,14,CB21,Clear,34.50544,-96.35316,1
10,14,CB3,Clear,34.46196,-96.42405,1
11,14,CB13,Clear,34.4262,-96.44225,1
12,14,CB1,Clear,34.39019,-96.49615,1
13,14,CB2,Clear,34.38255,-96.42439,1
14,16,CB22,Clear,34.37022,-96.31983,1
15,16,CB14,Clear,34.32896,-96.41936,1
16,20,CB23,Clear,34.30959,-96.27913,1
17,20,CB5,Clear,34.2314,-96.20818,1
18,20,CB6,Clear,34.27334,-96.18775,1
19,20,CB7,Clear,34.27543,-96.30304,1
20,23,CB24,Clear,34.25183,-96.20512,1
21,23,CB15,Clear,34.1134,-96.06445,1
22,23,CB16,Clear,34.09874,-95.97787,1
23,25,CB26,Clear,34.10006,-95.88593,1
24,25,CB12,Clear,34.05615,-95.92072,1
25,60,CB25,Clear,34.08748,-95.83623,1
26,29,MB18,Muddy,34.79137,-96.44138,1
27,29,MB19,Muddy,34.8073,-96.42163,1
28,29,MB30,Muddy,34.81064,-96.35905,1
29,33,MB32,Muddy,34.74194,-96.26391,1
30,32,MB31,Muddy,34.81658,-96.19662,1
31,32,MB14,Muddy,34.77724,-96.19473,0
32,33,MB11,Muddy,34.73555,-96.15456,1
33,35,MB33,Muddy,34.62922,-96.20872,1
34,35,MB10,Muddy,34.68201,-96.14497,1
35,38,MB8,Muddy,34.57364,-96.17957,1
36,38,MB17,Muddy,34.54857,-96.21438,1
37,38,MB9,Muddy,34.59312,-96.10596,1
38,44,MB34,Muddy,34.4474,-96.16911,1
39,40,MB13,Muddy,34.60233,-95.97496,0
40,44,MB1,Muddy,34.44079,-96.07372,1
41,42,MB2,Muddy,34.48375,-95.98186,1
42,44,MB4,Muddy,34.461629,-96.02662,1
43,44,MB16,Muddy,34.41024,-96.18256,1
44,50,MB15,Muddy,34.35246,-96.00595,1
45,50,MB5,Muddy,34.3093,-96.01382,1
