"","PC1","PC2","PC3","PC4"
"Standard deviation",2.49524536276911,1.76368863221851,1.43066257880468,1.13244763541342
"Proportion of Variance",0.28301,0.14139,0.09304,0.05829
"Cumulative Proportion",0.28301,0.4244,0.51744,0.57573
