"","PC1","PC2","PC3","PC4","PC5","PC6"
"Standard deviation",2.34808456107242,2.01649266066641,1.61443577034084,1.53592349227072,1.44213974576383,1.37204748121096
"Proportion of Variance",0.16708,0.12322,0.07898,0.07149,0.06302,0.05705
"Cumulative Proportion",0.16708,0.2903,0.36928,0.44076,0.50379,0.56083
